DEMO COMPANY,,,,,,,,,,
DUNLOPILLO SUITE-T6                               ,,,,,,,,,,
2F-36, SUNWAY CARNIVAL MALL             ,,,,,,,,,
3068, JALAN TODAK PUSAT BANDAR SEBERANG ,,,,,,,,,
SEBERANG JAYA                           ,,,,,,,,,,
PERAI                                   ,,,,,,,,,,
13700     PENANG                                             MALAYSIA                 ,,,,,,,,,,
,,,,,,,,,,
SETTLEMENT DATE :,14/08/2026,,,,,,,,,
MERCHANT ID :,000499999999999,,,,,,,,,
BANK :,MALAYAN BANKING BERHAD                  ,,,,,,,,,
ACCOUNT NO :,999999999999,,,,,,,,,
,,,,,,,,,,
BATCH REFERENCE :,009730006-0006814   ,,,,,,,,,
TERMINAL ID :,10000000,,,,,,,,,
TERMINAL BATCH :,00030900,,,,,,,,,
,,,,,,,,,,
DATE,TRANSACTION DESCRIPTION,CARD TYPE,IPP PLAN,IF,CARD NUMBER,APP. CODE,GROSS AMOUNT (RM),MDR %,MDR AMOUNT (RM),NET AMOUNT (RM)
14/08/2026,,,,,,,,,,
14/08/2026,SALE PURCHASE            ,C                             ,00,R1               ,5522 28 ** **** 0000,R73811,6000,1.2,-72,5928
,,,,,,,,,,
SUB TOTAL :,1,,,,,,6000,,-72,5928
,,,,,,,,,,
SUBVENTION FEE :,,,,,,,,,,-254.16
,,,,,,,,,,
TOTAL VISA SALES (RM) :,0,,,,,,,,,
TOTAL MASTERCARD SALES (RM) :,6000,,,,,,,,,
TOTAL WALLET SALES (RM) :,0,,,,,,,,,
TOTAL SALES (RM) :,6000,,,,,,,,,
TOTAL REFUND (RM) :,0,,,,,,,,,
TOTAL SALES MDR AMOUNT (RM) :,-72,,,,,,,,,
TOTAL REFUND MDR AMOUNT (RM) :,0,,,,,,,,,
TOTAL SUBVENTION FEE/ADJUSTMENT (RM) :,-254.16,,,,,,,,,
TOTAL NET PAYMENT (RM) :,5673.84,,,,,,,,,
