BATCH DATE|ACCOUNT NO.|PROD TYPE|EFFECT DATE|EFFECT TIME|BRANCH|TELLER|CODE|SOURCE CODE|AMOUNT|AMOUNT IND|TRX DESCRIPTION|TRX REFERENCE|STD REF IND|STD REF1|STD REF2|STD REF3|FILLER1|FILLER2|FILLER3|FILLER4|FILLER5
20260801|0000564418610346|CA|20260801|103009|2988|CEB4PHON|7610|003|000000000171000|CR|AH SENG TRADING    *|Deposit|||||||||
20260803|0000564418610346|CA|20260803|140212|2902|0005DC0A|7610|003|000000000227700|CR|CR/CARD SALES MN 32409997 DATED 14082026|99970814|||||||||
20260803|0000564418610346|CA|20260803|140212|2902|0005DC0A|7610|003|000000000374304|CR|CR/CARD SALES MN 32410011 DATED 01082026|00110108|||||||||
20260803|0000564418610346|CA|20260803|151122|2902|0005DC0A|7610|003|000000000320830|CR|Book Transfer Third AEON CREDIT SERVICE|MA458030287507|||||||||
20260803|0000564418610346|CA|20260803|151122|2902|0005DC0A|7610|003|000000000331898|CR|Book Transfer Third AEON CREDIT SERVICE|MA458030287507|||||||||
20260803|0000564418610346|CA|20260803|163045|2902|0005DC0A|7610|003|000000001519731|CR|03999061714 PBB-PBCS AC 3|20260803000145|||||||||
20260809|0000564418610346|CA|20260809|091500|2902|0005DC0A|7610|003|000000000087500|CR|DR/CARD SALES M/N 2259020 DATED 08082026|D90200808|||||||||
20260809|0000564418610346|CA|20260809|091500|2902|0005DC0A|7610|003|000000000000394|DR|DR/CARD SALES M/N 2259020 DATED 08082026|D90200808|||||||||
20260810|0000564418610346|CA|20260810|100730|2988|DBB4PHON|7610|003|000000000350000|DR|SUPPLIER PAYMENT   *|PV-2608-0031|||||||||
20260812|0000564418610346|CA|20260812|235959|2902|0005DC0A|7610|003|000000000002500|DR|SERVICE CHARGE|BCHARGE|||||||||
08B42461D66B43C2B6823BC8953AFAB8
